timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
2 48 292 0.38485617045223025 0.005143829547769763
2 62 95 0.38796251835092 0.0020374816490800196
2 85 96 0.3884726612749666 0.0015273387250334114
2 109 243 0.38889504255824725 0.001104957441752763
13 32 231 0.38685703430490415 0.0031429656950958673
34 85 224 0.3800452995189044 0.00995470048109559
34 98 198 0.38579769466234615 0.004202305337653867
47 9 126 0.38597800112305725 0.004021998876942767
47 78 190 0.3886615340716762 0.0013384659283238176
75 99 266 0.3897658370171414 2.3416298285861004E-4
